Color,Contour Index,Perimeter (mm),Area (mm^2),Roundness,Average Diameter (mm),Width (mm),Height (mm),Volume (mm^3),Mass (g)
Green,187,1.1767766922712326,0.0546875,0.4962606252804942,0.5154131650924683,0.25,0.625,0.10226538585904274,0.00025566346464760684
Green,188,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,193,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,194,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,196,0.75,0.0,0.0,0.3750250041484833,0.125,0.5,0.032724923474893676,8.181230868723419e-05
Green,203,28.12436842918396,25.703125,0.40834781416731575,7.864625453948975,6.5,6.375,276.63195936414496,0.6915798984103624
Green,204,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Green,205,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,206,0.75,0.0,0.0,0.3750250041484833,0.5,0.125,0.008181230868723419,2.0453077171808547e-05
Green,209,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Green,218,9.022970646619797,4.1328125,0.6379056919905769,3.2428054809570312,3.0,2.625,21.647536878642168,0.05411884219660542
Green,219,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,220,40.01865936815739,51.8046875,0.4064937299146906,12.539960861206055,11.625,7.125,618.0040439002155,1.5450101097505389
Green,223,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Green,225,336.5353142619133,594.984375,0.06601674961601643,48.679115295410156,27.625,40.875,48333.29866478538,120.83324666196346
Green,226,12.035533830523491,4.8125,0.4174936656395852,5.014067649841309,5.125,1.375,10.14677158493422,0.02536692896233555
